text,intent
"Whenever i try to change my password, it says my old password doesnt match",ChangePassword
I want to change my password and the new passwords don't work,ChangePassword
I want to change my password by today,ChangePassword
Can I change my password but I cannot remember my old password,ChangePassword
"I am trying to change my password, but it is not recognizing the old password",ChangePassword
I need to get into my account to change my password,ChangePassword
I received notice that I needed to change my password,ChangePassword
i don't remember my answer to the question to change my password,ChangePassword
I would like to change my password but I still can't access the EHB system,ChangePassword
I want to change my password so I can begin my application,ChangePassword
I want to know if she qualifies for a loan repayment forgiveness program,GetLoan
I had questions regarding Scholarships for Disadvantaged (SDS) Program,GetLoan
I need to get another letter with the information,GetLoan
I would like to get more information about the trainings,GetLoan
Can I get a loan for home health care,GetLoan
I want to get another extension after one has expired,GetLoan
I want to know if she is still scheduled for a site visit in 2022,GetLoan
I want to know if she is eligible for Optimizing Virtual Care,GetLoan
I may have missed the opportunity to apply,GetLoan
what is she being told about what she is being told,GetLoan
can she just activate the previous deactivated account,GetLoan
I have reached the right number for COVID-19 Provider relief,GetLoan
I want an overview and confirm she is in review status,GetLoan
can she use the money from H8F grant,GetLoan
do a allocations report,GetLoan
I want to know if she qualified for the provider relief funding,GetLoan
I have an issue with the change in scope,GetLoan
change who receives notifications related to the Grant,GetLoan
Could you assist me to access my account,AccessAccount
I want to help me access my account,AccessAccount
how to access my account,AccessAccount
how I would be able to access my account,AccessAccount
user is unable to access account,AccessAccount
I am unable to access my account,AccessAccount
I am unable to access my account because the security question answer isn't working,AccessAccount
she has not received an email confirmation that she can now access the account,AccessAccount
I still cannot access my account,AccessAccount
I'd like to get an access to the account,AccessAccount
can't access my account,AccessAccount
access to my account and grant associated with this account,AccessAccount
my account is locked and I cannot access it,AccessAccount
I am unable to gain access to my account after changing the password twice,AccessAccount
I have been having trouble accessing my account in EHB,AccessAccount
can not access my acct current pw not working,AccessAccount
"Even if you do NOT want to buy cryptocurrency, do you know that the world's biggest exchange Binance has a referral program",DoNotWantToBuyCryptocurrency
is our system superior,AskAboutSystem
